핸들,댓글 내용
@user-ng8uq4ic7g,"맨날 때처럼 밀린 1인 저요저
크림도 바꿔보고 선크림도 바꿔보고 아주 힘들었어요
정신없이 출근하다 제대로 안바르면 얼굴에 허옇게 뭉쳐있고요ㅠ 점심에 양치하면 하얀 국물 떨어지고 눈시려서 눈물나고.. 노화 막는다고 눈을 혹사시키고 있었지 뭐예요ㅠ 
선세럼쓰고 투명하지만 짱짱한 보호막 만들래요♡"
@user-ks6re6xp8n,"어제 배송 와서 오늘 외출 시사용했는데 ㅎㅎ 너무 촉촉하고 눈시림도 없고 너무 좋아서 다시 쟁여놓으려구요 ㅎ
 감사합니다 좋은제품 만들어주셔서요 ㅎㅎ"
@reu41,"진짜 궁금하네요.,한달에 한통 반ㅋㅋ정도 여러종류로 쓰는뎈ㅋㅋ가벼워보여요~ 제형도 에센스같을것같고..썬크림의 티나는 그 백탁이나 기름기는 별로 없을것같아보이네용 넘 궁금해용!!"
@cyk7143,영상 보고 구매+구독하고 갑니다ㅎㅎ 선세럼 사용감 너무 좋아보여서 기대되네요
@doaya27,"투명한 선크림은 처음 봐요...
촉촉해서 메이크업에 전혀 방해가 안되겠어요 굿!!!
그동안 선세럼 만들기 위한 서사만 봐도 믿음이 가요 항상 응원합니다"
@user-ww1sg1nb7n,"지금 무기자차 선크림 쓰고 있었는데 바르고 나면 너무 건조해져서 선크림 바꾸려고 찾아보고 있었어요!! 마침 영상 보고 성분이랑 제형이 너무 맘에 들어서 바꿔 보려고요!!
 이때까지 선크림 발랐을때 텁텁한 느낌이 너무 싫어서 집에있을때랑 잠깐 나갈땐 고민하다가 안바를때가 많았었는데 선세럼이라고해서 너무 기대돼요!!"
@user-lz1nw9ok4o,심톨님 선크림 믿고 사요~^^
@user-oe8ey9ps2c,"저도 진짜기존 선크림은 500원동전만큼 발랐을때 너무화장밀리고 스트레스였는데
딱저의 고민을담은 제품이라 바루 구매했습니당 기대대횽♡"
@ronniedo6902,"인스타랑 유튜브 모두 잘 보고 있다가 처음 댓글 남겨봐요 ~ 같은 나이라니 놀랐어요!!
선세럼 오픈특가로 친구꺼 함께 구매했습니다.
세럼타입이라 여름에 넘 시원할 듯해요. 런칭 축하드려요 ~~ ^^"
@user-kf9el8uc1k,안그래도 요즘 기미때문에 선크림 열심히바르기는하는데 약간 기름져서 여름에 좀더가벼운 제형으로 찾고있었는데 세럼제형 선케어라 딱인거같아요!!
@hi_hello_qoo,"늘 추천해주신 제품 몰래몰래 손민수하고 있었는데, 직접 만드신 제품이라니 더이상 무슨 말이 필요하겠습니까! 바로 구매합니다
 같은 나이라 하니 남몰래 혼자 친구해봅니다ㅎㅎ"
@choidohyun2619,"누가봐도 언니가 만든 제품 같아요
청량하고 상큼하고 투명하고 고급스럽고!!! 언니 요즘 너무 일 열심히 하던데 몸 아끼면서 살살 해줘요 누가 뭐래도 내안의 톨진스"
@SuJinLee-sr6rz,"요즘 톤업 선크림들 많이 나오는데 사실 단품으로 사용하면 좋은점이 있지만 파데랑 같이 쓰기엔 너무 얼굴이 하얘져서 좀 꺼려졌었거든요
델피어 아쿠아 테카 카밍 선 세럼은 그런게 없어서 좋을 것 같아요 그리고 크림이 아닌 세럼이라는 점도 궁금하고 기대되네요!!"
@user-lf5xn7xd4x,"투명한 선크림?!!???이건 혁명이자나요!!!!
찐득한 느낌 넘 시러해서 이것저것 사봤는데 아직 완벽히  맘에 드는 제품을 찾지 못했능데ㅜㅠㅠ부디 대박나서 올영에 입점하길!!!!수분크림 느낌 날 것 같아서 기대돼요!!!왠지 화장도 잘 먹을 것 같은 느낌Ssss"
@chochocho416,"꺅 선세럼 런칭이라뇨 ㅠㅠ 너무 축하드려용
️
저는 접촉성 피부염에 요철있는 민감성+복합성인 사람이에요. 선크림을 발라야 하는 건 알지만 늘 선크림만 발랐다 하면 피부염, 여드름이 올라와서 겁나서 못 바른지 어언 10년… 순하다는 제품은 다 발라봤지만 역시나 맞는 건 하나도 없었고 피부과 가는 게 일상이 된 지금입니다… 그나마 피부염이 도지지 않는 제품을 꾸역꾸역 발라보긴 했지만 유분이 너무 많아 여드름을 유발시켰고 결국 사용 중단해서 선크림 유목민 상태입니다… 
심톨님이 심쿵이들 너무 아끼고 이런 거에 장난 안 치실 거라는 거 너무 잘 알고 있어서 믿고 구매해보려고 합니다! 벌써 기대돼요! 
 좋은 제품 만들어주셔서 감사합니다 
️
️"
@jevais5387,"헉. 선크림 유목민인데 너무 기대돼요! 사실 물같은 제형, 촉촉한 제형은 다른 브랜드에서도 종종 출시됐지만, 세럼이라고 부르기엔 확실히 크림 같은 느낌이 나서 지성인 저한테는 조금 부담이었어요. 게다가 성분이 저렴한 건지 눈이 시리고 얼굴에 오히려 트러블이 나서 정말 고민이었거든요...
올여름 진짜 덥고 햇빛 쨍쨍일 것 같아서 지난 달부터 선크림 계속 찾아보고 있었는데 운명일까요......🫶 언니 영상 보고 베리시 속옷도 3개나 쟁이고... 마켓 거의 다 탑승하고..... 피지연화제 워시오프팩 다 샀는데 이번 델피어 선세럼도 꼭 써봐야겠어요!!!!!"
@dinoggy1288,헉 이건 혁명이에요!!!! 저에게 꼭 필요한 ...!!! ㅠㅠ 바로 쟁이러가야겠어용 !! 요즘 생리때문에 피부도 뒤집어지고 더워져서 답답한데다가 마스크도 ㅇㅏ직 보내주지 못해 선크림 바르기 싫었는데 선세럼이라닝.. 너무 궁금해서 미치겠어요 !!!
@user-bs5og7ee5s,선세럼!! 저 트러블 잘 올라오고 특히 선크림 때문에 트러블이 잘 올라와서 정말 많은 선크림을 써봤는데 아직도 정착을 못하고있어요ㅠㅠ 모공을 막는건지.. 요 선세럼 꼭 사용해보고싶어요!! 솔깃ㅎㅎ
@user-kg7cj7mr3h,와..이건 혁명이야 내가 꿈에만 그리던 이상의 선크림이야..!
@user-nv3bb8wb6r,와 심톨언니 런칭은 아묻따!! 선세럼이라니...처음인거같아서 신기하거 신박해용!!! 항상 선크림 하면 백탁현상있고 눈따가움에 클렌징 할때도 뻑뻑하고 그랬는데..촉촉한 세럼제형에 선크림까지ㅠㅠ 저 시카 엄청 사랑하는데 비싼 시카까지 다 들어가고ㅠㅠ 선크림 정착 못했는데 심톨언니 선세럼 쟁여서 정착하고파용!!
@user-zs9of8ee1x,"요즘 여름이 시작되면서 햇살이 너무 강해서 기미,주근깨가 늘어난것 같아서 고민이었는데 좋은제품 소개해 주셔서 감사해요~
혹시나 기회가 된다면 선세럼 꼭 사용해보고 싶어요~"
@Hyezza,"선크림류 왠만한거 다 바르면 얼굴 트러블나서 항상 실패했는데 ㅠㅠ 요번에 심톨님께서 이렇게!! 강려-크 추천 하시니 아묻따! 바로 3개 구매했어요 ! 
저도 쓰고 아부지도 드리고 어무니도 드리고 하려구요! 부모님은 항상 선크림 텁텁하고 바른느낌 나서 안쓰시는데 요건 너무 추천드릴 수 있을거같아요 🩵

이벤트 당첨되서 남자친구까지 델피어 완전무장하구 싶어용 🫧🫧"
@user-yg8wg1hs3s,"델피어선세럼 선크림이라니~~!!!제가 며칠전에 레이져 시술(잡티제거)을 받았는데 시술 받고 듀오덤을 얼굴에 붙였는데 알러지가 생겼어요ㅠㅠ 레이져 시술 후에는 썬크림,재생크림을 꼭 발라주라고 하는데 지금 얼굴이 난리가 나서 어떤 선크림을 발라야 하나 고민 중이었는데 세럼 제형으로 나와서 얇게 발릴 거 같아서 너무 너무 기대가 됩니다.. 이런 좋은 제품 만들어 주셔서 너무 감사드려요!!!"
@user-kt9cz5zk2c,"기존 가볍다고 하는 선크림 거의 다 사용해 봤는데 답답한 느낌은 계속 있더라고요.. 선크림 중요성은 정말 알겠는데 번들거리고 답답해서 맞는 제품 찾기 너무 힘들었거든요.. 진짜 바르기 싫다는 거 너무 공감 돼요!!! 델피어 아쿠아 테카 카밍 선세럼 영상으로만 봐도 그냥 에센스 바르는 느낌으로 가벼워 보여서 너무 궁금해요
이제 여름 오고 땀 많이 나면서 답답한 선크림 바르기 꺼려졌는데 투명한 선세럼이라니!!! 투명한데 성분까지 착하다니 완벽..!!!
이번 여름 선세럼으로 가볍게 선케어 하고 싶어요🫶
️"
@tangerine_gom,선크림 유목민인걸 어떻게 아시고 저에게 이런 광명을 찾아주십니까..! 여름에 쓰기 좋아보이고 색상도 너무 아름다운 초록빛..! 당장 구매합니다
@user-yo4jd5ru3b,"평소에 선크림 바를 때는 텁텁한 느낌이 들고 백탁이 있어서 선크림이 중요하다는 걸 알면서도 잘 바르지 않게됐었는데 선세람을 만드셨다니!!
너무 궁금하고 사용해보고 싶어요"
@user-xo5dl1yc1x,믿고 바로 4개 구입 완료했어요! 얼른 써보고싶네요 ㅎㅎ
@sososae9926,항상 민감성이라 선크림 유목민인데 요 제품 너무 궁금하네요 좋은 성분이 꽉꽉 들어있는 선세럼 너무 기대됩니당!!
@markpell3583,톤업 선크림만 다들 원하는줄알았는데 심톨님도 티 안나지만 자외선 차단은 강력한 제품을 원하실줄이야!! 그리고 이렇게 델피어 선세럼 만들어주시다니!!! 제가 초초초 민감성에 피부염 겨우 진정시키고 있어서 사실 얼굴엔 도전해보기 무섭고 목이랑 팔에 바르려구 4세트 주문했어요!! 저도 노화 신경쓴다고 선크림 하루에 몇번씩 덮어바르는 사람인데 목이랑 팔은 티셔츠에 노랗게 묻어나서 버린옷도 많고 목 윗부분만 바른다던가 했었는데 투명한 선세럼이라니 진짜 너무 기대돼요!! 얼굴 장벽관리도 열심히해서 꼭 가볍게 델피어 선세럼만 바르는 날이 왔으면 좋겠어요!
@suny-tf8uy,클렌징은 1차세안으로만으로 가능할까요??  이지워시 인지 궁금해요
@miokkim2603,"선크림런칭 넘축하드려요
델피어 아쿠아 테카 카밍 선세럼!! 이름만큼...발림성 너무좋고 수분감가득촉촉하고...산뜻한 초록초록색이라니 무엇보다 캡슐이들어가있는 크림은 많이봐도 선크림에도 수분에센스성분캡슐이 들어가있다니..대박이에요
 선크림유목민인데 한번써보고싶어요
️"
@oesnium,"민감한 수부지 피부인데다가 솜털도 많아서 선크림 고르기 너무 힘들었어요ㅜㅜ 촉촉한 선크림을 바르면 번들거리고 조금씩 간지럽고, 보송한 선크림림은 솜털 부각이 심해져서  그림의 떡이 되더라고요.. 

심톨님이 개발한 선세럼이 투명한 제형이라고 하니까 너무 기대돼요!! 하나 궁금한게 있는데, 기존 선크림들처럼 세안에 신경을 써야할까요??"
@camoma1,"우와 심톨님이 직접 쓰려고 만든 선세럼이라니!! 정말 믿음직스럽고 탐나잖아요~~
 
요즘 날이 더워져서 기존에 쓰고 있는 선크림이 점점 부담스러워지던 차였거든요.
가볍고 신선하게 자외선 차단을 할 수 있다니!! 당장 사러가야겠어요!! 
좋은 제품 만들어줘서 고마워요~"
@annajoung,ㅜㅜ 내용도 안보고 2개세트 샀는데 3개세트 살걸 그랬네욧! 언제나 아묻따 심톨님픽이었는데 이젠 심지어 심톨님이 함께 제작한거라니!! 너무 기대됩니다!! 복합성 피부에 선크림 바르면 찐득하고 화장 안올라가서 힘겨웠는데 극뽁할수있을듯해서 기대됩니다
@user-vk8yd8ht4i,"최강동안 심톨님 썬제품이라니!! 🥹 여름엔 피부 진정에 좋고 수분 가득한 시카 제품 필수인데 때맞춰 만났네요
시카, 티트리 제품 넘 선호하는데 성분을 더 세분화 했다니 넘 궁금해요
 세럼과 함께 합쳐져서 두가지 따로 안발라도 되고 개이득인데 이 가격에 구매해도 되나요🫶 벌써 다음 제품라인도 기대되요"
@user-yn2fj5jy6y,심톨님 관리법 보다가 여기까지 흘러들어와 4개 구매했어요~~ 선크림 좋다는거 다 써봤는대ㅠ 선크림만 쓰면 얼귤에 뭐가 나더라구녀ㅠㅠㅠㅠ 그리고 무기자차 쓰면 얼굴 땡기고 유기자차나 혼합쓰면 피부화장 너무 금방 무너지는 사람인데 세럼 제형이라 너무 기대돼요
@daenggi83,"델피어 아쿠아 테카 카밍 선 세럼 심톨님이 쓰시려고 만드셨다는 말씀에 더 신뢰가 되는 선세럼이네요^^
저는 속건조가 심해서 선크림 바르면 뻑뻑해서 싫었는데 아쿠아 테카 카밍 선 세럼은 수분캡뉼이 들어 촉촉하고 자외선 차단은 확실해서 좋네요. 무엇보다 아쿠아 테카 카밍 선 세럼은 투명하고 촉촉해서 메이크업 접착제라니 매일 화장 뜨는 제가 꼭 써보고 시폐요"
@pgtop7742,"헐 선크림 바르면 늘 뭐 나고 뒤집어나고 스트레스였는데 이런 제맘을 어찌알고 이런 신박한 제품을 만들어주셨나요!!!! 넘 감사해요 ㅠㅠㅠㅠ
  쟁이러갑니다…!!! 사랑해요"
@miniggogi,와 선세럼 제형 처음봐요! 스킨케어처럼 바르기도 쉽고 더위 많이 타는 사람한테 산뜻하게 바르기 좋을 것 같아요 게다가 패키지도 이뻐서 화장대에 두면 이쁠거같아용
@user-vm6tu3pd5g,"선세럼 폼 미쳤다… 올영 긴장해라 진짜… 🥹
 여태까지 선케어 유목민으로 살면서 이런저런 제품 거의 써 봤지만 날 긴장하게 만들 줄 알았지만 실은 김장이었고… 
진짜 유명한 만큼 좋은 제품은 찾지 못한 것 같아요! 저 정말 피부 타는 거 싫어하고, 또 타도 남들에 비해 조금 촌스럽게 타는 느낌인데 ㅠㅠ 제가 피부가 정말 얇아서 정말 그만큼 잘 타거든요! 그래서 여름에도 모자, 마스크 필수인데 이 선세럼이면 당당히 얼굴 내밀고 예쁘게 꾸미고 다닐 수도 있겠어요. 자외선 차단도 확실하게 되고 성분도 순하고 착한 게 예민한 피부에도 딱이네요. 
 또, 진정 기능 있는 게 너무 좋아요! 저처럼 자극에 민감 하고 예민한 피부는 여름에 햇빛이 강한 날, 야외에서 장시간 돌아다니다 보면 피부에 금방 열이 오르고 홍조와, 붉은기가 심해 지거든요! 그럼 얼굴에 계란 올리면 진짜 후라이 될 것 같고 답답하고 덥고… 진짜 실시간으로 얼굴이 부어 오르는 느낌인데 이제품 쓰면 열감으로 인한 피부 손상도 방지 할 수 있을 것 같아요! 
️🫶
🩵 투명 선크림이라서 더 좋은 거 있죠! 색 없는 선크림 좋은데 요즘은 색 있는 게 더 많더라고요 ㅠㅠ 항상 썬크림 잘 안 지워져서. 이중 세안이 필수였는데 장시간 바르고 있어도 갑갑하지도 않고 외려 가볍고 산뜻한 제형이라니 너무 기대가 됩니다. :)"
@mo_zzi_mom,"선크림은 잘못쓰면 눈시리고 발림성 안좋고 흰국물 줄줄인데 피부에 진심인 심톨님이 직접 제안해서 만든 제품이라고 하니 완전 믿음 팍팍 가네요
가볍게 바를 수 있는 제형에 원료까지 좋으니 써보고싶어요"
@user-rx5vs4qb7m,선세럼 제형이 특이하네요  지금까지 봐온 심톨님을 믿고 구매해볼려고 해요
